,NFLOOR,YRCON,WKHRS,NWKER,HEATP,COOLP,PCTERMN,LAPTPN,PRNTRN,COPIERN,LTOHRP,LTNHRP,DAYLTP,OPEN24,OPNWE,PBAPLUS,RENRFF,RENINS,CENDIV,PBA,FREESTN,RFTILT,WLCNS,BLDSHP,BLDSHP,YRCONC,RENHVC,RENWIN,RENLGT,RENELC,RENINS,RENSTR
850,1,1958,168,30,100.0,97.0,24.0,10.0,17.0,3.0,99.0,50.0,40.0,1,1,36,2.0,2.0,9,17,1.0,1,1,7.0,7.0,3,2.0,2.0,2.0,2.0,2.0,2.0
851,1,1959,101,93,100.0,100.0,49.0,8.0,22.0,6.0,99.0,13.0,13.0,2,1,50,1.0,2.0,4,23,1.0,1,3,6.0,6.0,3,1.0,2.0,1.0,2.0,2.0,2.0
853,2,1975,74,136,100.0,53.0,123.0,34.0,43.0,13.0,65.0,44.0,6.0,2,1,50,1.0,2.0,3,23,1.0,2,3,9.0,9.0,5,1.0,2.0,2.0,2.0,2.0,2.0
856,7,1967,168,393,100.0,100.0,1125.0,275.0,100.0,50.0,85.0,75.0,0.0,1,1,35,1.0,2.0,5,16,1.0,1,1,2.0,2.0,4,1.0,1.0,1.0,1.0,2.0,2.0
857,1,1979,56,13,100.0,100.0,6.0,0.0,5.0,1.0,95.0,5.0,10.0,2,1,2,2.0,2.0,7,2,1.0,3,1,1.0,1.0,5,1.0,2.0,2.0,2.0,2.0,2.0
859,2,1997,85,33,100.0,100.0,221.0,1.0,27.0,6.0,99.0,0.0,0.0,2,1,29,2.0,2.0,5,14,1.0,1,1,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
863,4,1960,112,29,100.0,100.0,115.0,2.0,7.0,2.0,100.0,10.0,40.0,2,1,27,1.0,1.0,4,14,1.0,1,1,2.0,2.0,4,1.0,1.0,1.0,1.0,1.0,2.0
865,5,1995,84,100,100.0,80.0,1800.0,100.0,20.0,20.0,60.0,30.0,0.0,2,1,27,2.0,2.0,2,14,1.0,1,6,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
867,5,1967,100,105,100.0,95.0,210.0,40.0,22.0,8.0,100.0,30.0,1.0,2,1,27,1.0,2.0,6,14,1.0,1,1,2.0,2.0,4,1.0,2.0,1.0,2.0,2.0,2.0
868,5,1994,55,130,100.0,75.0,130.0,40.0,20.0,40.0,100.0,25.0,0.0,2,1,52,1.0,2.0,5,7,1.0,1,3,2.0,2.0,7,1.0,2.0,1.0,2.0,2.0,2.0
871,1,1960,12,2,100.0,100.0,1.0,0.0,1.0,1.0,100.0,0.0,100.0,2,1,31,2.0,2.0,5,14,1.0,2,3,2.0,2.0,4,2.0,2.0,2.0,2.0,2.0,2.0
872,2,2007,55,4,100.0,25.0,4.0,0.0,6.0,1.0,100.0,0.0,0.0,2,1,45,2.0,2.0,7,26,1.0,2,5,2.0,2.0,9,2.0,2.0,2.0,2.0,2.0,2.0
879,2,1947,50,3,50.0,100.0,1.0,3.0,3.0,1.0,75.0,10.0,50.0,2,1,21,2.0,2.0,9,12,1.0,2,1,9.0,9.0,3,2.0,2.0,2.0,2.0,2.0,2.0
881,1,2007,84,26,100.0,100.0,7.0,2.0,1.0,1.0,98.0,0.0,10.0,2,2,30,2.0,2.0,5,14,1.0,3,1,10.0,10.0,9,2.0,2.0,2.0,2.0,2.0,2.0
882,2,2000,80,90,40.0,100.0,15.0,4.0,4.0,1.0,70.0,10.0,10.0,2,1,21,2.0,2.0,7,12,1.0,1,5,2.0,2.0,8,1.0,2.0,1.0,1.0,2.0,2.0
886,3,2000,72,20,60.0,60.0,4.0,20.0,10.0,3.0,75.0,20.0,30.0,2,2,27,2.0,2.0,9,14,1.0,3,1,2.0,2.0,8,2.0,2.0,2.0,2.0,2.0,2.0
890,1,2006,50,12,100.0,100.0,5.0,1.0,1.0,1.0,100.0,25.0,0.0,2,2,30,2.0,2.0,7,14,1.0,2,1,2.0,2.0,9,2.0,2.0,2.0,2.0,2.0,2.0
892,12,1979,46,350,75.0,100.0,250.0,150.0,350.0,25.0,75.0,15.0,5.0,2,1,2,1.0,2.0,7,2,1.0,1,2,2.0,2.0,5,1.0,2.0,2.0,2.0,2.0,2.0
893,3,1988,60,22,100.0,75.0,40.0,40.0,19.0,2.0,100.0,20.0,5.0,2,1,6,2.0,2.0,5,2,1.0,1,1,2.0,2.0,6,2.0,2.0,2.0,2.0,2.0,2.0
896,3,995,46,30,100.0,66.0,36.0,6.0,35.0,3.0,70.0,25.0,25.0,2,1,22,1.0,1.0,3,13,1.0,3,1,3.0,3.0,1,1.0,1.0,1.0,1.0,1.0,2.0
897,10,1968,168,333,100.0,90.0,215.0,265.0,200.0,20.0,90.0,20.0,0.0,1,1,8,1.0,2.0,5,4,1.0,1,1,8.0,8.0,4,1.0,2.0,1.0,1.0,2.0,2.0
902,1,1980,50,7,100.0,100.0,10.0,4.0,3.0,3.0,50.0,5.0,0.0,2,2,2,2.0,2.0,3,2,1.0,3,1,1.0,1.0,6,1.0,2.0,1.0,2.0,2.0,2.0
903,5,1990,168,2000,100.0,100.0,2434.0,554.0,314.0,120.0,100.0,90.0,0.0,1,1,35,2.0,2.0,8,16,1.0,1,1,2.0,2.0,7,1.0,2.0,1.0,1.0,2.0,2.0
906,3,1954,105,47,33.0,66.0,50.0,8.0,50.0,2.0,100.0,5.0,0.0,2,1,28,2.0,2.0,9,14,1.0,1,1,2.0,2.0,3,2.0,2.0,2.0,2.0,2.0,2.0
908,1,2002,40,92,100.0,100.0,150.0,120.0,50.0,3.0,100.0,20.0,20.0,2,2,28,2.0,2.0,7,14,1.0,1,3,10.0,10.0,8,2.0,2.0,2.0,2.0,2.0,2.0
909,6,995,45,175,100.0,85.0,225.0,60.0,225.0,25.0,100.0,8.0,0.0,2,2,52,2.0,1.0,2,7,1.0,2,1,2.0,2.0,1,1.0,1.0,1.0,1.0,1.0,2.0
910,1,1958,70,91,95.0,95.0,40.0,10.0,25.0,1.0,74.0,14.0,6.0,2,1,50,1.0,2.0,3,23,1.0,1,3,2.0,2.0,3,1.0,1.0,1.0,1.0,2.0,2.0
911,1,1965,50,65,100.0,100.0,180.0,12.0,6.0,2.0,100.0,0.0,0.0,2,2,28,2.0,2.0,7,14,1.0,2,1,4.0,4.0,4,1.0,2.0,1.0,1.0,2.0,2.0
914,2,1983,60,66,100.0,100.0,66.0,10.0,5.0,3.0,95.0,0.0,10.0,2,2,2,2.0,2.0,9,2,1.0,1,1,2.0,2.0,6,2.0,2.0,2.0,2.0,2.0,2.0
916,3,1950,132,25,100.0,29.0,4.0,3.0,2.0,1.0,40.0,1.0,0.0,2,1,31,1.0,1.0,2,14,1.0,1,1,2.0,2.0,3,1.0,1.0,2.0,1.0,1.0,2.0
917,10,1992,55,750,100.0,100.0,750.0,87.0,25.0,25.0,100.0,10.0,25.0,2,1,2,2.0,2.0,5,2,1.0,1,2,9.0,9.0,7,1.0,2.0,1.0,2.0,2.0,2.0
921,1,1990,40,4,100.0,100.0,2.0,0.0,2.0,1.0,75.0,0.0,50.0,2,2,25,1.0,2.0,8,13,1.0,3,1,11.0,11.0,7,1.0,2.0,2.0,2.0,2.0,2.0
922,2,1988,168,240,100.0,100.0,200.0,10.0,30.0,30.0,80.0,20.0,0.0,1,1,35,2.0,2.0,4,16,1.0,1,1,8.0,8.0,6,1.0,2.0,1.0,1.0,2.0,2.0
923,3,1963,168,30,100.0,100.0,265.0,150.0,20.0,3.0,100.0,66.0,0.0,1,1,23,1.0,2.0,7,13,1.0,1,1,2.0,2.0,4,1.0,2.0,1.0,2.0,2.0,2.0
924,1,1985,65,40,100.0,100.0,40.0,20.0,15.0,3.0,80.0,10.0,10.0,2,2,2,2.0,2.0,3,2,1.0,1,3,4.0,4.0,6,1.0,2.0,1.0,2.0,2.0,2.0
928,2,1992,50,10,100.0,100.0,6.0,3.0,4.0,3.0,50.0,0.0,0.0,2,2,5,2.0,2.0,3,2,1.0,2,4,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
932,5,1997,168,40,100.0,100.0,11.0,1.0,9.0,1.0,60.0,40.0,0.0,1,1,38,1.0,2.0,7,18,1.0,1,1,2.0,2.0,7,1.0,2.0,2.0,2.0,2.0,2.0
933,7,1976,168,1800,100.0,100.0,1945.0,277.0,284.0,110.0,95.0,30.0,10.0,1,1,35,1.0,2.0,8,16,1.0,1,1,11.0,11.0,5,1.0,2.0,1.0,2.0,2.0,2.0
935,8,1963,168,2500,100.0,90.0,3595.0,1420.0,1000.0,1500.0,80.0,50.0,5.0,1,1,35,1.0,2.0,3,16,1.0,1,1,4.0,4.0,4,1.0,2.0,1.0,1.0,2.0,2.0
941,994,2001,60,1548,100.0,100.0,1548.0,1420.0,52.0,75.0,100.0,10.0,80.0,2,2,6,2.0,2.0,7,2,1.0,1,3,2.0,2.0,8,2.0,2.0,2.0,2.0,2.0,2.0
942,3,1959,100,120,100.0,60.0,1300.0,100.0,60.0,10.0,100.0,5.0,10.0,2,1,29,1.0,1.0,1,14,1.0,1,1,3.0,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0
944,2,1985,124,25,50.0,50.0,16.0,0.0,3.0,1.0,50.0,10.0,0.0,2,1,24,2.0,1.0,9,13,1.0,2,3,2.0,2.0,6,1.0,1.0,1.0,1.0,1.0,1.0
947,2,1964,12,1,100.0,100.0,1.0,1.0,1.0,1.0,80.0,5.0,80.0,2,1,21,2.0,1.0,5,12,1.0,3,1,8.0,8.0,4,1.0,1.0,1.0,1.0,1.0,2.0
948,7,1995,168,1000,100.0,100.0,2000.0,50.0,300.0,300.0,75.0,50.0,10.0,1,1,35,2.0,2.0,7,16,1.0,1,2,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
949,6,1994,168,6500,98.0,98.0,1340.0,39.0,281.0,49.0,100.0,85.0,14.0,1,1,26,2.0,2.0,8,13,1.0,3,6,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
953,1,1990,112,30,100.0,100.0,11.0,3.0,5.0,1.0,95.0,12.0,1.0,2,1,50,2.0,2.0,5,23,1.0,1,3,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
955,7,1964,50,220,100.0,95.0,363.0,75.0,114.0,10.0,95.0,0.0,10.0,2,2,4,2.0,2.0,1,2,1.0,1,1,11.0,11.0,4,2.0,2.0,2.0,2.0,2.0,2.0
960,3,1985,40,14,100.0,52.0,14.0,0.0,4.0,1.0,90.0,0.0,33.0,2,2,2,1.0,2.0,1,2,1.0,3,4,11.0,11.0,6,1.0,2.0,2.0,2.0,2.0,2.0
961,2,2005,168,5,100.0,75.0,3.0,2.0,3.0,2.0,80.0,25.0,25.0,1,1,16,2.0,2.0,2,7,1.0,1,3,2.0,2.0,9,2.0,2.0,2.0,2.0,2.0,2.0
962,3,1969,168,95,100.0,100.0,40.0,40.0,30.0,4.0,80.0,30.0,0.0,1,1,2,1.0,2.0,4,2,1.0,2,1,11.0,11.0,4,1.0,2.0,1.0,1.0,2.0,2.0
967,3,995,50,200,100.0,50.0,6.0,200.0,20.0,6.0,76.0,25.0,0.0,2,2,4,2.0,2.0,3,2,1.0,1,1,2.0,2.0,1,2.0,2.0,2.0,2.0,2.0,2.0
973,8,1970,168,300,85.0,100.0,906.0,284.0,213.0,50.0,100.0,75.0,0.0,1,1,35,1.0,1.0,4,16,1.0,1,2,5.0,5.0,5,1.0,1.0,1.0,1.0,1.0,2.0
974,4,995,40,45,100.0,15.0,36.0,4.0,6.0,2.0,70.0,10.0,2.0,2,2,28,2.0,2.0,3,14,1.0,1,1,8.0,8.0,2,1.0,2.0,1.0,2.0,2.0,2.0
975,1,1966,70,89,100.0,86.0,55.0,32.0,23.0,5.0,77.0,19.0,12.0,2,1,50,1.0,2.0,8,23,1.0,1,1,2.0,2.0,4,1.0,2.0,1.0,2.0,2.0,2.0
981,7,2007,55,441,100.0,100.0,425.0,250.0,35.0,14.0,100.0,1.0,20.0,2,2,2,2.0,2.0,7,2,1.0,1,2,2.0,2.0,9,2.0,2.0,2.0,2.0,2.0,2.0
984,2,1950,55,20,100.0,80.0,4.0,10.0,8.0,3.0,80.0,5.0,10.0,2,1,6,1.0,1.0,1,2,1.0,1,3,2.0,2.0,3,1.0,1.0,1.0,1.0,1.0,2.0
985,6,995,59,80,100.0,100.0,80.0,60.0,30.0,3.0,90.0,50.0,50.0,2,1,28,1.0,2.0,2,14,1.0,1,1,2.0,2.0,2,1.0,2.0,1.0,2.0,2.0,2.0
987,1,1988,55,12,10.0,75.0,5.0,8.0,3.0,2.0,1.0,0.0,25.0,2,1,21,1.0,2.0,9,12,1.0,2,1,2.0,2.0,6,1.0,2.0,1.0,1.0,2.0,1.0
988,1,1948,40,15,90.0,30.0,15.0,3.0,6.0,1.0,100.0,0.0,50.0,2,2,4,2.0,2.0,8,2,1.0,3,4,5.0,5.0,3,2.0,1.0,1.0,2.0,2.0,2.0
990,1,1980,39,14,80.0,80.0,12.0,6.0,7.0,1.0,84.0,4.0,13.0,2,1,50,2.0,2.0,5,23,1.0,1,1,2.0,2.0,6,2.0,2.0,2.0,2.0,2.0,2.0
991,3,1993,56,200,100.0,100.0,120.0,50.0,50.0,40.0,100.0,10.0,0.0,2,1,2,2.0,2.0,9,2,1.0,1,3,2.0,2.0,7,2.0,2.0,1.0,2.0,2.0,2.0
996,2,1996,100,346,100.0,100.0,100.0,50.0,50.0,5.0,100.0,0.0,0.0,2,1,9,2.0,2.0,4,5,1.0,2,2,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
998,1,1968,96,42,100.0,82.0,100.0,200.0,6.0,1.0,85.0,10.0,15.0,2,1,29,1.0,2.0,4,14,1.0,1,1,2.0,2.0,4,1.0,1.0,1.0,1.0,2.0,1.0
999,5,1983,56,400,100.0,100.0,249.0,100.0,49.0,10.0,100.0,0.0,20.0,2,1,2,2.0,2.0,2,2,1.0,1,1,2.0,2.0,6,1.0,2.0,2.0,2.0,2.0,2.0
1002,1,1963,60,6,100.0,100.0,6.0,0.0,2.0,1.0,100.0,10.0,0.0,2,1,9,2.0,2.0,9,5,1.0,1,1,2.0,2.0,4,2.0,2.0,2.0,2.0,2.0,2.0
1003,2,1976,40,19,95.0,95.0,13.0,5.0,4.0,1.0,80.0,0.0,0.0,2,2,2,2.0,2.0,2,2,1.0,2,1,2.0,2.0,5,2.0,2.0,2.0,2.0,2.0,2.0
1006,1,2001,126,162,88.0,85.0,20.0,6.0,18.0,3.0,90.0,33.0,4.0,2,1,50,2.0,2.0,2,23,1.0,2,3,2.0,2.0,8,2.0,2.0,2.0,2.0,2.0,2.0
1007,2,2005,116,386,100.0,100.0,80.0,6.0,9.0,3.0,100.0,3.0,0.0,2,1,9,2.0,2.0,5,5,1.0,2,2,2.0,2.0,9,2.0,2.0,2.0,2.0,2.0,2.0
1009,3,1979,168,50,100.0,100.0,15.0,5.0,4.0,2.0,85.0,50.0,50.0,1,1,36,2.0,2.0,2,17,1.0,1,3,5.0,5.0,5,2.0,2.0,2.0,2.0,2.0,2.0
1014,3,1967,168,70,100.0,90.0,50.0,4.0,30.0,1.0,90.0,70.0,20.0,1,1,36,1.0,2.0,1,17,1.0,2,1,11.0,11.0,4,1.0,1.0,1.0,1.0,2.0,2.0
1017,9,1984,168,350,100.0,100.0,2000.0,100.0,45.0,85.0,95.0,65.0,50.0,1,1,35,2.0,2.0,7,16,1.0,1,1,2.0,2.0,6,1.0,1.0,1.0,2.0,2.0,2.0
1019,10,1962,168,2240,100.0,100.0,3595.0,500.0,2000.0,20.0,100.0,70.0,15.0,1,1,35,1.0,2.0,4,16,1.0,1,1,11.0,11.0,4,1.0,1.0,1.0,2.0,2.0,1.0
1020,6,1959,93,380,100.0,100.0,301.0,280.0,100.0,35.0,100.0,80.0,50.0,2,1,19,2.0,2.0,2,8,1.0,1,1,5.0,5.0,3,2.0,2.0,2.0,2.0,2.0,2.0
1021,1,1980,50,35,100.0,2.0,10.0,4.0,3.0,2.0,100.0,0.0,0.0,2,1,10,2.0,2.0,8,5,1.0,1,3,2.0,2.0,6,2.0,2.0,2.0,2.0,2.0,2.0
1022,3,1987,168,800,100.0,100.0,250.0,250.0,60.0,25.0,100.0,10.0,0.0,1,1,9,1.0,2.0,5,5,1.0,1,2,2.0,2.0,6,1.0,2.0,1.0,2.0,2.0,2.0
1023,2,1997,168,80,100.0,100.0,75.0,20.0,25.0,4.0,90.0,40.0,35.0,1,1,16,2.0,2.0,5,7,1.0,1,1,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
1026,3,1978,96,25,100.0,80.0,40.0,3.0,5.0,2.0,80.0,70.0,0.0,2,1,24,1.0,2.0,2,13,1.0,3,1,2.0,2.0,5,1.0,2.0,1.0,1.0,2.0,2.0
1029,1,1986,43,32,100.0,98.0,29.0,10.0,12.0,2.0,91.0,2.0,14.0,2,1,50,2.0,2.0,2,23,1.0,1,3,9.0,9.0,6,1.0,2.0,1.0,2.0,2.0,2.0
1031,1,995,40,320,100.0,66.0,320.0,150.0,100.0,6.0,66.0,5.0,29.0,2,1,2,1.0,1.0,1,2,1.0,1,3,6.0,6.0,2,1.0,1.0,1.0,1.0,1.0,2.0
1033,1,1999,100,75,95.0,100.0,9.0,0.0,2.0,1.0,85.0,20.0,5.0,2,1,44,2.0,2.0,5,26,1.0,1,1,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
1034,8,1975,70,400,100.0,100.0,200.0,4.0,40.0,6.0,75.0,50.0,75.0,2,1,19,1.0,2.0,2,8,1.0,1,1,2.0,2.0,5,1.0,1.0,1.0,2.0,2.0,2.0
1038,2,2006,50,64,100.0,100.0,255.0,35.0,13.0,3.0,100.0,10.0,50.0,2,2,28,2.0,2.0,5,14,1.0,1,2,2.0,2.0,9,2.0,2.0,2.0,2.0,2.0,2.0
1040,1,1968,84,3,100.0,100.0,1.0,0.0,2.0,1.0,100.0,13.0,0.0,2,1,34,2.0,2.0,2,15,1.0,1,3,3.0,3.0,4,1.0,1.0,1.0,1.0,2.0,2.0
1045,6,995,60,135,100.0,100.0,150.0,20.0,35.0,20.0,90.0,10.0,40.0,2,2,4,2.0,2.0,7,2,1.0,2,1,2.0,2.0,2,1.0,2.0,2.0,2.0,2.0,2.0
1047,1,1984,56,15,100.0,100.0,30.0,5.0,3.0,2.0,90.0,10.0,0.0,2,1,23,2.0,2.0,7,13,1.0,2,3,2.0,2.0,6,2.0,2.0,2.0,2.0,2.0,2.0
1051,5,1983,50,225,100.0,95.0,240.0,50.0,125.0,40.0,100.0,10.0,50.0,2,1,4,1.0,2.0,7,2,1.0,1,1,1.0,1.0,6,1.0,2.0,2.0,1.0,2.0,2.0
1052,1,1968,168,45,100.0,100.0,9.0,1.0,11.0,3.0,100.0,20.0,80.0,1,1,36,1.0,2.0,3,17,1.0,2,1,5.0,5.0,4,2.0,2.0,2.0,2.0,2.0,2.0
1056,1,1969,60,60,90.0,95.0,100.0,40.0,50.0,5.0,90.0,0.0,5.0,2,1,29,1.0,1.0,8,14,1.0,1,3,11.0,11.0,4,1.0,1.0,1.0,1.0,1.0,2.0
1058,1,1995,45,19,100.0,100.0,21.0,3.0,17.0,25.0,4.0,0.0,0.0,2,2,5,2.0,2.0,6,2,1.0,2,1,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
1060,2,1965,25,3,100.0,75.0,7.0,0.0,2.0,1.0,100.0,0.0,0.0,2,1,18,2.0,2.0,2,8,1.0,2,1,2.0,2.0,4,1.0,1.0,1.0,1.0,2.0,2.0
1061,7,995,48,249,100.0,80.0,3.0,100.0,80.0,12.0,98.0,45.0,45.0,2,2,28,1.0,2.0,2,14,1.0,1,1,6.0,6.0,2,2.0,2.0,2.0,2.0,2.0,2.0
1062,6,1967,70,270,95.0,95.0,388.0,15.0,4.0,4.0,60.0,10.0,10.0,2,1,27,2.0,2.0,7,14,1.0,1,1,9.0,9.0,4,2.0,2.0,1.0,1.0,2.0,2.0
1063,3,1971,45,40,75.0,75.0,40.0,10.0,15.0,15.0,80.0,10.0,25.0,2,2,5,2.0,2.0,9,2,1.0,1,1,2.0,2.0,5,2.0,2.0,2.0,2.0,2.0,2.0
1064,2,1958,55,96,19.0,20.0,73.0,5.0,26.0,3.0,75.0,5.0,0.0,2,1,9,1.0,1.0,5,5,1.0,1,1,9.0,9.0,3,1.0,1.0,1.0,1.0,1.0,1.0
1065,7,1974,45,150,100.0,100.0,150.0,50.0,100.0,13.0,100.0,10.0,0.0,2,1,6,2.0,2.0,5,2,1.0,1,2,1.0,1.0,5,2.0,2.0,2.0,2.0,2.0,2.0
1068,1,2006,70,27,100.0,99.0,13.0,11.0,14.0,2.0,94.0,14.0,19.0,2,1,50,2.0,2.0,9,23,1.0,2,2,3.0,3.0,9,2.0,2.0,2.0,2.0,2.0,2.0
1069,1,2004,12,4,100.0,100.0,1.0,0.0,1.0,1.0,100.0,0.0,10.0,2,1,21,2.0,2.0,6,12,1.0,2,1,2.0,2.0,9,2.0,2.0,2.0,2.0,2.0,2.0
1071,1,2005,40,19,100.0,66.0,10.0,2.0,9.0,1.0,75.0,1.0,25.0,2,2,2,2.0,2.0,8,2,1.0,2,8,9.0,9.0,9,2.0,2.0,2.0,2.0,2.0,2.0
1074,1,1999,11,62,100.0,100.0,280.0,15.0,64.0,5.0,80.0,5.0,20.0,2,2,28,2.0,2.0,7,14,1.0,2,3,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
1075,3,1963,69,80,100.0,75.0,40.0,30.0,20.0,3.0,25.0,10.0,0.0,2,1,19,1.0,1.0,3,8,1.0,3,1,11.0,11.0,4,1.0,1.0,1.0,1.0,1.0,2.0
1077,1,1958,70,55,100.0,83.0,37.0,13.0,12.0,7.0,88.0,15.0,13.0,2,1,50,2.0,2.0,3,23,1.0,1,3,2.0,2.0,3,1.0,2.0,1.0,1.0,2.0,2.0
1079,1,1979,40,5,100.0,50.0,16.0,6.0,1.0,1.0,50.0,5.0,0.0,2,2,2,2.0,2.0,7,2,1.0,1,3,3.0,3.0,5,2.0,2.0,2.0,2.0,2.0,2.0
1082,3,1993,49,35,100.0,100.0,40.0,3.0,10.0,3.0,85.0,1.0,0.0,2,1,3,2.0,2.0,4,2,1.0,3,4,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
1083,2,1964,144,50,50.0,10.0,29.0,30.0,6.0,6.0,100.0,5.0,0.0,2,1,9,1.0,1.0,4,5,1.0,1,3,2.0,2.0,4,2.0,2.0,1.0,1.0,1.0,1.0
1084,7,1971,168,2000,100.0,100.0,700.0,50.0,150.0,50.0,100.0,50.0,30.0,1,1,35,2.0,2.0,6,16,1.0,1,2,5.0,5.0,5,2.0,2.0,2.0,2.0,2.0,2.0
1087,1,1987,48,5,100.0,100.0,5.0,5.0,2.0,1.0,75.0,10.0,60.0,2,1,19,2.0,2.0,5,8,1.0,2,1,3.0,3.0,6,2.0,2.0,2.0,2.0,2.0,2.0
1088,1,2004,47,4,100.0,100.0,30.0,4.0,4.0,2.0,80.0,0.0,0.0,2,1,23,1.0,2.0,4,13,1.0,2,1,10.0,10.0,9,2.0,2.0,2.0,2.0,2.0,2.0
1091,8,1986,168,95,100.0,100.0,25.0,2.0,6.0,4.0,100.0,100.0,0.0,1,1,38,1.0,2.0,5,18,1.0,1,3,9.0,9.0,6,2.0,2.0,2.0,2.0,2.0,2.0
1092,6,2006,168,550,100.0,100.0,250.0,50.0,70.0,1.0,100.0,50.0,0.0,1,1,35,2.0,2.0,7,16,1.0,1,2,2.0,2.0,9,2.0,2.0,1.0,2.0,2.0,2.0
1094,2,2007,90,25,100.0,100.0,10.0,3.0,6.0,1.0,100.0,20.0,20.0,2,1,42,2.0,2.0,8,25,1.0,1,2,2.0,2.0,9,2.0,2.0,2.0,2.0,2.0,2.0
1095,3,1956,80,100,100.0,100.0,200.0,50.0,4.0,1.0,80.0,10.0,5.0,2,1,28,2.0,2.0,4,14,1.0,1,1,3.0,3.0,3,2.0,2.0,2.0,2.0,2.0,2.0
1096,1,1987,80,75,97.0,100.0,72.0,35.0,20.0,8.0,93.0,48.0,10.0,2,1,50,2.0,2.0,5,23,1.0,1,1,9.0,9.0,6,1.0,2.0,2.0,2.0,2.0,2.0
1099,994,2002,60,1700,100.0,100.0,230.0,1420.0,135.0,275.0,100.0,30.0,20.0,2,1,2,2.0,1.0,5,2,1.0,1,1,3.0,3.0,8,1.0,2.0,1.0,2.0,1.0,2.0
1100,10,1985,54,900,60.0,100.0,500.0,500.0,75.0,50.0,100.0,40.0,0.0,2,1,2,1.0,2.0,9,2,1.0,1,9,3.0,3.0,6,2.0,2.0,1.0,2.0,2.0,2.0
1102,2,1964,45,8,100.0,50.0,9.0,1.0,3.0,1.0,60.0,2.0,3.0,2,2,2,2.0,2.0,9,2,1.0,1,1,2.0,2.0,4,2.0,2.0,2.0,2.0,2.0,2.0
1106,1,2005,68,9,70.0,80.0,17.0,7.0,9.0,2.0,63.0,27.0,13.0,2,1,50,2.0,2.0,9,23,1.0,1,1,3.0,3.0,9,2.0,2.0,2.0,2.0,2.0,2.0
1107,7,1957,168,1100,100.0,95.0,635.0,30.0,600.0,100.0,98.0,80.0,0.0,1,1,35,2.0,1.0,2,16,1.0,1,1,10.0,10.0,3,1.0,1.0,1.0,2.0,1.0,2.0
1110,9,2007,168,650,100.0,100.0,1000.0,50.0,250.0,30.0,100.0,65.0,3.0,1,1,35,1.0,2.0,1,16,1.0,1,1,11.0,11.0,9,1.0,1.0,1.0,1.0,2.0,2.0
1111,3,1970,84,40,100.0,100.0,20.0,0.0,10.0,3.0,90.0,30.0,50.0,2,1,42,2.0,2.0,8,25,1.0,2,1,1.0,1.0,5,2.0,2.0,2.0,2.0,2.0,2.0
1114,1,2007,65,3,100.0,100.0,5.0,0.0,3.0,1.0,100.0,20.0,50.0,2,1,24,2.0,2.0,7,13,1.0,3,1,2.0,2.0,9,2.0,2.0,2.0,2.0,2.0,2.0
1117,1,1984,50,20,5.0,5.0,30.0,25.0,25.0,5.0,100.0,0.0,0.0,2,2,9,2.0,1.0,9,5,1.0,2,2,9.0,9.0,6,1.0,1.0,1.0,2.0,1.0,1.0
1118,1,1976,168,48,100.0,33.0,10.0,1.0,5.0,5.0,80.0,8.0,0.0,1,1,10,2.0,2.0,5,5,1.0,1,3,11.0,11.0,5,2.0,2.0,2.0,2.0,2.0,2.0
1121,1,1959,80,33,100.0,100.0,98.0,6.0,28.0,1.0,100.0,0.0,80.0,2,2,28,1.0,1.0,5,14,1.0,2,1,4.0,4.0,3,1.0,1.0,1.0,1.0,1.0,2.0
1124,8,1973,60,1800,100.0,100.0,3620.0,1420.0,500.0,95.0,60.0,10.0,5.0,2,1,4,1.0,2.0,5,2,1.0,1,3,11.0,11.0,5,1.0,2.0,1.0,1.0,2.0,2.0
1127,6,1955,168,12,100.0,20.0,20.0,4.0,4.0,4.0,1.0,20.0,70.0,1,1,37,1.0,2.0,4,18,1.0,1,1,3.0,3.0,3,1.0,1.0,1.0,1.0,2.0,2.0
1130,2,2006,45,2,100.0,60.0,1.0,1.0,1.0,1.0,5.0,1.0,30.0,2,1,21,2.0,2.0,4,12,1.0,2,5,2.0,2.0,9,2.0,2.0,2.0,2.0,2.0,2.0
1132,3,2000,72,100,100.0,100.0,10.0,10.0,5.0,2.0,100.0,25.0,50.0,2,1,2,2.0,2.0,1,2,1.0,1,1,2.0,2.0,8,2.0,2.0,2.0,2.0,2.0,2.0
1134,6,1981,55,300,10.0,100.0,400.0,150.0,100.0,6.0,60.0,0.0,12.0,2,2,2,1.0,2.0,7,2,1.0,1,1,2.0,2.0,6,2.0,2.0,1.0,2.0,2.0,2.0
