,NFLOOR,YRCON,WKHRS,NWKER,HEATP,COOLP,PCTERMN,LAPTPN,PRNTRN,COPIERN,LTOHRP,LTNHRP,DAYLTP,OPEN24,OPNWE,PBAPLUS,RENRFF,RENINS,CENDIV,PBA,FREESTN,RFTILT,WLCNS,BLDSHP,BLDSHP,YRCONC,RENHVC,RENWIN,RENLGT,RENELC,RENINS,RENSTR
51,2,1990,50,80,100.0,10.0,18.0,0.0,3.0,2.0,100.0,0.0,0.0,2,2,9,2.0,2.0,3,5,1.0,1,3,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
53,9,1972,168,360,90.0,90.0,200.0,10.0,60.0,40.0,100.0,50.0,0.0,1,1,35,1.0,1.0,5,16,1.0,1,3,11.0,11.0,5,1.0,2.0,1.0,1.0,1.0,2.0
55,1,1953,40,55,100.0,100.0,100.0,0.0,5.0,1.0,100.0,0.0,0.0,2,1,28,2.0,2.0,9,14,1.0,3,1,8.0,8.0,3,2.0,2.0,2.0,2.0,2.0,2.0
57,1,1987,40,35,15.0,10.0,6.0,1.0,4.0,2.0,50.0,0.0,0.0,2,1,9,1.0,2.0,2,5,1.0,1,3,1.0,1.0,6,2.0,2.0,2.0,2.0,2.0,2.0
59,1,1998,46,3,100.0,100.0,3.0,0.0,1.0,1.0,100.0,10.0,0.0,2,1,42,2.0,2.0,2,25,1.0,3,1,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
60,1,2001,65,20,100.0,100.0,6.0,3.0,8.0,1.0,100.0,10.0,0.0,2,1,42,2.0,2.0,3,25,1.0,1,1,2.0,2.0,8,2.0,2.0,2.0,2.0,2.0,2.0
62,1,1993,168,18,10.0,10.0,13.0,0.0,4.0,2.0,90.0,75.0,0.0,1,1,9,2.0,2.0,9,5,1.0,2,3,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
69,1,1988,50,8,100.0,100.0,26.0,0.0,3.0,1.0,100.0,0.0,40.0,2,1,25,1.0,2.0,9,13,1.0,2,4,9.0,9.0,6,2.0,1.0,2.0,2.0,2.0,2.0
71,1,1963,168,120,100.0,85.0,104.0,20.0,60.0,4.0,95.0,85.0,0.0,1,1,35,2.0,2.0,1,16,1.0,1,3,11.0,11.0,4,1.0,1.0,1.0,2.0,2.0,2.0
72,2,2001,46,180,30.0,75.0,150.0,10.0,30.0,30.0,80.0,25.0,20.0,2,1,9,2.0,2.0,5,5,1.0,2,2,2.0,2.0,8,1.0,1.0,1.0,1.0,2.0,2.0
73,7,2002,168,600,100.0,100.0,600.0,300.0,600.0,50.0,100.0,10.0,5.0,1,1,35,2.0,2.0,6,16,1.0,1,1,2.0,2.0,8,2.0,2.0,2.0,2.0,2.0,2.0
80,2,2002,90,37,100.0,100.0,130.0,40.0,3.0,1.0,100.0,10.0,0.0,2,2,28,2.0,2.0,3,14,1.0,3,3,8.0,8.0,8,2.0,2.0,2.0,2.0,2.0,2.0
81,9,2001,90,1200,100.0,85.0,1100.0,12.0,260.0,260.0,100.0,20.0,0.0,2,1,3,2.0,2.0,3,2,1.0,1,2,2.0,2.0,8,2.0,2.0,2.0,2.0,2.0,2.0
82,14,995,72,310,90.0,50.0,150.0,16.0,20.0,5.0,50.0,0.0,50.0,2,1,6,2.0,2.0,9,2,1.0,1,3,2.0,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0
85,2,1998,105,6,50.0,100.0,5.0,0.0,3.0,1.0,100.0,50.0,0.0,2,1,42,2.0,2.0,2,25,1.0,1,1,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
86,2,2005,40,6,100.0,100.0,6.0,1.0,1.0,1.0,50.0,0.0,40.0,2,2,2,2.0,2.0,9,2,1.0,2,1,2.0,2.0,9,2.0,2.0,2.0,2.0,2.0,2.0
90,1,1988,50,8,100.0,100.0,20.0,0.0,2.0,1.0,90.0,0.0,0.0,2,2,5,2.0,2.0,5,2,1.0,3,1,2.0,2.0,6,1.0,2.0,2.0,2.0,2.0,2.0
92,1,2004,20,1,40.0,40.0,1.0,2.0,1.0,1.0,1.0,0.0,70.0,2,1,10,2.0,2.0,7,5,1.0,2,5,2.0,2.0,9,1.0,2.0,2.0,2.0,2.0,2.0
94,2,1986,90,75,100.0,100.0,35.0,6.0,5.0,3.0,100.0,50.0,0.0,2,1,26,1.0,2.0,8,13,1.0,1,3,2.0,2.0,6,1.0,2.0,1.0,2.0,2.0,2.0
95,1,1981,168,54,100.0,100.0,11.0,1.0,4.0,2.0,99.0,88.0,10.0,1,1,50,2.0,2.0,2,23,1.0,1,3,2.0,2.0,6,1.0,2.0,1.0,1.0,2.0,2.0
99,1,1999,40,2,100.0,100.0,3.0,8.0,2.0,2.0,65.0,0.0,75.0,2,2,6,2.0,2.0,3,2,1.0,2,1,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
100,2,1999,60,13,100.0,4.0,1.0,2.0,1.0,3.0,100.0,100.0,75.0,2,2,9,2.0,2.0,5,5,1.0,2,5,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
102,4,1998,168,450,100.0,100.0,450.0,300.0,40.0,12.0,100.0,50.0,0.0,1,1,8,2.0,2.0,9,4,1.0,1,1,2.0,2.0,7,1.0,2.0,2.0,1.0,2.0,2.0
105,2,1989,65,15,100.0,40.0,15.0,15.0,15.0,2.0,27.0,0.0,0.0,2,2,1,2.0,2.0,4,1,1.0,1,1,9.0,9.0,6,2.0,2.0,2.0,2.0,2.0,1.0
108,3,1958,168,300,100.0,85.0,400.0,20.0,100.0,30.0,100.0,60.0,10.0,1,1,35,1.0,2.0,1,16,1.0,1,1,10.0,10.0,3,1.0,1.0,1.0,1.0,2.0,2.0
109,12,1975,168,2000,75.0,75.0,3620.0,1420.0,200.0,30.0,100.0,99.0,10.0,1,1,4,2.0,2.0,5,2,1.0,1,2,1.0,1.0,5,1.0,2.0,1.0,2.0,2.0,2.0
110,1,1952,40,15,20.0,20.0,10.0,2.0,4.0,3.0,90.0,0.0,0.0,2,2,10,2.0,2.0,9,5,1.0,1,1,3.0,3.0,3,2.0,2.0,2.0,2.0,2.0,2.0
112,2,1964,40,14,100.0,80.0,18.0,2.0,6.0,1.0,80.0,1.0,0.0,2,2,4,1.0,2.0,1,2,1.0,3,1,9.0,9.0,4,1.0,2.0,1.0,2.0,2.0,2.0
119,3,995,50,48,90.0,100.0,1.0,227.0,15.0,3.0,75.0,15.0,40.0,2,2,28,2.0,2.0,5,14,1.0,3,1,10.0,10.0,2,2.0,2.0,1.0,1.0,2.0,1.0
123,1,1981,20,19,100.0,100.0,3.0,0.0,3.0,1.0,100.0,0.0,0.0,2,1,21,2.0,2.0,3,12,1.0,3,1,2.0,2.0,6,1.0,2.0,2.0,2.0,2.0,2.0
126,2,1998,40,17,100.0,100.0,14.0,2.0,5.0,1.0,80.0,4.0,0.0,2,2,2,2.0,2.0,3,2,1.0,2,3,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
127,4,1983,168,30,100.0,100.0,16.0,2.0,6.0,3.0,70.0,10.0,30.0,1,1,38,2.0,2.0,5,18,1.0,1,1,2.0,2.0,6,1.0,2.0,2.0,2.0,2.0,1.0
131,3,1987,168,500,100.0,90.0,400.0,140.0,100.0,14.0,100.0,50.0,0.0,1,1,6,1.0,1.0,2,2,1.0,1,2,2.0,2.0,6,1.0,2.0,1.0,1.0,1.0,2.0
133,3,995,72,1,100.0,5.0,1.0,1.0,1.0,1.0,50.0,0.0,50.0,2,1,21,2.0,2.0,3,12,1.0,3,1,9.0,9.0,1,2.0,2.0,2.0,2.0,2.0,2.0
138,1,1990,50,8,100.0,100.0,30.0,0.0,10.0,1.0,100.0,5.0,40.0,2,1,23,2.0,2.0,7,13,1.0,1,1,2.0,2.0,7,2.0,2.0,2.0,2.0,2.0,2.0
143,2,1975,44,6,100.0,100.0,8.0,0.0,1.0,1.0,60.0,0.0,0.0,2,1,2,2.0,2.0,3,2,1.0,2,3,3.0,3.0,5,1.0,1.0,1.0,2.0,2.0,2.0
147,1,995,168,60,100.0,100.0,5.0,15.0,10.0,2.0,100.0,30.0,25.0,1,1,36,2.0,2.0,9,17,1.0,2,1,9.0,9.0,2,2.0,1.0,2.0,2.0,2.0,2.0
152,9,2007,168,500,100.0,100.0,350.0,50.0,50.0,20.0,100.0,50.0,10.0,1,1,35,2.0,2.0,6,16,1.0,1,1,2.0,2.0,9,2.0,2.0,2.0,2.0,2.0,2.0
153,2,1964,77,5,90.0,30.0,12.0,12.0,6.0,2.0,75.0,10.0,0.0,2,1,24,2.0,2.0,2,13,1.0,2,5,2.0,2.0,4,2.0,2.0,1.0,2.0,2.0,2.0
154,2,1987,105,3,100.0,100.0,2.0,0.0,1.0,1.0,25.0,10.0,0.0,2,1,25,2.0,2.0,3,13,1.0,3,3,2.0,2.0,6,1.0,2.0,1.0,2.0,2.0,2.0
155,11,1992,55,1750,100.0,65.0,1700.0,300.0,200.0,50.0,100.0,20.0,20.0,2,2,4,2.0,2.0,5,2,1.0,2,1,4.0,4.0,7,2.0,2.0,2.0,2.0,2.0,2.0
156,1,2005,120,60,100.0,2.0,15.0,40.0,18.0,3.0,33.0,2.0,20.0,2,2,9,2.0,2.0,5,5,1.0,2,2,2.0,2.0,9,2.0,2.0,1.0,1.0,2.0,2.0
157,1,1990,72,129,100.0,100.0,51.0,25.0,34.0,8.0,85.0,7.0,15.0,2,1,50,2.0,2.0,5,23,1.0,1,1,9.0,9.0,7,2.0,2.0,2.0,2.0,2.0,2.0
158,5,1976,168,475,100.0,95.0,400.0,300.0,200.0,75.0,75.0,75.0,0.0,1,1,8,1.0,2.0,3,4,1.0,1,1,2.0,2.0,5,1.0,1.0,1.0,2.0,2.0,2.0
