,TOTAL_EUI
0,2.53375
1,13.877166666666668
3,21.8647
4,14.9151
6,32.7239125
8,17.416293333333332
9,26.902428333333333
12,10.256142857142857
14,18.210367567567566
15,13.023096153846154
19,10.955535211267605
21,10.368510638297872
23,24.815424050632913
26,2.8522916666666664
27,24.02405569620253
28,37.369708
29,7.026385542168675
30,15.451805
32,9.799397590361446
33,5.457263157894737
34,6.132716049382716
35,8.846944444444444
36,7.5766
43,24.63233333333333
44,1.4279
46,32.84452112676056
49,25.118684210526315
50,12.203686746987952
51,5.117384210526316
53,34.1302
55,6.807151515151515
57,5.003291139240506
59,9.99725
60,6.760558139534884
62,22.765924528301888
69,13.274038461538462
71,37.98905555555555
72,5.68403
73,40.56029142857143
80,12.471229166666667
81,13.52813559322034
82,10.446904761904761
85,11.806642857142856
86,5.461904761904762
90,2.9090625
92,23.193809523809524
94,11.589470175438597
95,39.070727272727275
99,7.59
100,10.160015625
102,54.569
105,1.7671294117647058
108,22.04298
109,15.091973333333334
110,6.2234
112,14.995414634146341
119,5.118460317460317
123,3.9029375
126,8.131212121212121
127,13.905726666666666
131,35.49111428571429
133,4.4384561543845615
138,14.067365853658536
143,4.611919191919192
147,9.093471264367816
152,32.05929111111111
153,3.217764705882353
154,33.88711111111111
155,9.624153571428572
156,5.5407142857142855
157,20.837664835164833
158,38.65123181818182
159,17.258068965517243
162,1.6234
163,10.833150684931507
164,103.307925
165,8.635865217391304
166,5.2488
167,21.20899375
170,63.162461538461535
174,10.12472641509434
177,24.159565217391304
180,14.289933333333334
181,11.129775
182,66.25090909090909
186,9.549428
195,5.165897872340426
196,15.2075
198,15.766633802816902
201,23.64188829787234
205,10.11295890410959
208,21.719612666666666
209,15.379370212765958
210,43.93753846153846
211,15.986642857142858
213,10.762241758241759
214,10.9234875
215,42.291
218,2.87632
219,6.495764285714285
220,6.691484375
227,14.397296666666668
228,20.463322033898304
230,24.982756756756757
231,14.341214285714285
235,2.7286153846153844
237,17.682257142857143
241,57.65522131147541
242,13.3253125
243,11.022055555555555
247,12.556843023255814
248,22.746923333333335
249,28.369038461538462
251,15.89798904109589
253,3.7064280701754386
256,53.693357142857145
261,47.20137931034483
263,2.6977375
267,30.584646666666668
269,5.828577777777777
270,26.765195454545456
271,26.668411111111112
272,7.919547169811321
273,13.23862142857143
277,47.881649484536084
278,47.30849047619048
280,1.511955
281,26.985666666666667
282,5.3169609756097564
283,5.64430303030303
284,25.43697619047619
286,3.3079375
287,16.4686
289,5.091818181818182
290,11.817083333333333
292,12.602739726027398
295,7.40749756097561
296,28.873426315789473
297,31.12053
298,0.9640963855421687
299,6.110833333333333
302,7.083295652173913
303,3.87
305,17.09361282051282
306,6.872254901960784
307,17.33616153846154
308,6.72895652173913
309,12.04532075471698
310,7.001084507042253
311,38.35655
312,32.304
316,9.567046875
319,49.74990416666667
320,8.641155555555555
324,12.21972
326,2.1336363636363638
328,4.130892857142857
329,4.712307692307692
331,18.809733333333334
332,20.281407142857145
333,2.8354878048780487
334,9.76175
337,17.402363636363635
339,11.981518987341772
341,44.798809523809524
343,12.7821875
345,19.730556701030928
346,24.147521333333334
350,42.15493333333333
356,2.465220338983051
357,8.459916363636363
359,6.326888888888889
360,9.578636363636363
362,6.0551272727272725
363,0.421512
365,26.180860655737703
366,6.8332
367,27.0829126984127
369,37.60074074074074
371,23.276122222222224
373,20.404839285714285
374,18.475932692307694
377,5.081739130434783
379,4.549541666666666
380,22.002765957446808
383,9.833303157894736
385,15.01299090909091
386,12.1885
388,11.709654545454546
389,12.0412
391,12.70418253968254
392,14.418448717948717
396,5.683838235294117
399,25.343416666666666
405,8.18986
406,21.21824193548387
407,9.783947368421053
409,13.84
410,1.0043050847457626
414,13.067010204081633
417,13.14654716981132
418,15.832795180722892
420,28.74536274509804
421,20.521548387096775
422,15.865134865134864
424,18.0455
426,14.606585882352942
429,17.947085714285713
431,63.32725142857143
434,17.839066666666668
435,9.431162790697675
438,23.035462365591396
441,8.972779411764705
442,16.671875
443,13.229105263157894
445,20.161636363636365
448,5.030671641791045
450,54.198181818181816
451,14.688840579710146
452,13.804404494382023
453,9.068704301075268
456,1.448217391304348
460,3.793982456140351
463,17.886
464,19.883592
465,45.13548070175439
468,9.963720930232558
471,28.842166666666667
473,68.09427118644068
478,8.783777777777777
481,5.384767123287671
483,16.140689655172412
485,9.705666666666668
486,4.893030303030303
488,19.784318181818183
489,5.331036
493,4.708538461538462
497,5.793294871794872
499,24.7783
502,42.41482166666667
509,1.043
512,13.136914285714285
514,14.583333333333334
518,17.069255714285713
519,17.14125
520,27.16309595959596
521,31.554792857142857
522,25.760952380952382
524,16.91222727272727
527,5.155176666666667
531,18.651185714285713
534,27.677604651162792
535,6.58765
536,17.785345679012345
538,14.6891
539,14.581490384615385
542,20.27772857142857
545,10.2128
546,4.316952380952381
548,22.04479365079365
550,15.276228571428572
554,4.015135135135135
555,4.8193222222222225
556,13.851890476190476
557,119.75
558,4.840121212121212
564,16.72366913580247
565,5.195
566,6.073295774647887
568,8.656428571428572
570,33.53333333333333
573,20.870941860465116
574,15.772948
576,6.268294117647059
578,13.453422222222223
580,10.121166666666667
581,3.0475
582,22.75256875
584,12.416985
585,10.820975609756097
586,17.340102325581395
587,7.812846153846154
589,10.726223880597015
590,30.33625142857143
593,1.7915555555555556
594,36.118566666666666
596,2.858816666666667
600,16.517142857142858
601,17.813752808988763
607,4.822666666666667
609,7.879784946236559
611,8.502251666666666
618,15.4332375
621,9.33831506849315
623,16.886314102564103
625,27.23224126984127
626,1.6956206896551724
629,11.9689125
631,11.7140625
633,20.33631
634,47.5501
636,18.593330357142857
638,24.045564912280703
639,30.0345
640,12.4115
644,17.36047619047619
645,6.483076923076923
647,23.878595918367346
648,7.66269191919192
650,13.253292666666667
651,41.099675
658,12.00365
660,4.4934520547945205
661,23.062
662,19.094764912280702
665,12.9621
666,8.967085106382978
668,21.22925925925926
670,20.435236363636363
672,25.15172244897959
674,9.645807692307692
676,3.124283783783784
679,11.2255
681,5.877852
682,14.69659375
684,8.967397260273973
685,14.956555555555555
686,17.767294117647058
688,3.4255555555555555
691,17.03109090909091
692,4.63
694,33.12042352941177
698,10.507439655172414
699,17.356710843373495
704,22.536
705,21.053493333333332
710,6.265590909090909
712,14.85925
713,2.9076666666666666
714,12.386630508474576
719,6.942004761904762
722,43.34322950819672
723,5.505051428571429
725,30.21883
726,7.280888888888889
727,2.113563772872454
730,11.444116417910449
731,7.533368421052631
733,7.24870625
734,2.2439420289855074
736,8.404053571428571
737,6.002206896551725
738,15.0588
739,10.328673913043477
740,23.186057692307692
743,2.2863030303030305
744,31.50201
745,1.952433962264151
747,3.6395238095238094
748,33.80564705882353
751,17.4210101010101
753,11.518191176470589
757,12.3295
762,0.443
764,8.277779661016949
765,16.004416666666668
766,13.75347111111111
772,18.534283333333335
773,22.63634
776,58.89683333333333
777,23.01888888888889
778,7.0223571428571425
780,4.0007777777777775
785,17.677203703703704
788,15.673
790,21.11196
791,6.867152542372882
792,9.8936
798,12.004941176470588
799,13.136086956521739
802,8.330415730337078
805,16.583779411764706
806,15.019640449438203
808,20.495707692307693
810,10.914454545454545
812,5.2320714285714285
814,7.960239795918367
818,1.3757248550289942
821,8.789846153846154
822,27.45909189189189
823,10.047995
827,9.058333333333334
828,19.6124
829,13.393735294117647
836,2.2771701492537315
838,13.702822222222222
840,5.81644
841,22.184148936170214
842,43.91715164835165
843,7.694388888888889
848,15.564958333333333
849,8.04072463768116
850,31.416741573033708
851,19.181255813953488
853,18.88127843137255
856,32.29392771084337
857,20.786
859,15.40628888888889
863,14.412387096774193
865,57.39666111111111
867,9.681738461538462
868,13.201569811320756
871,11.5048
872,13.096666666666666
879,2.184
881,15.831285714285714
882,12.383225
886,11.743345454545455
890,13.743863636363637
892,25.395561643835617
893,17.306634146341462
896,20.764872727272728
897,32.814836666666665
902,22.546271186440677
903,29.631995714285715
906,2.498375
908,7.607198275862069
909,4.6309125
910,18.75443
911,9.934492537313433
914,11.2445
916,2.188344827586207
917,18.75654375
921,6.26
922,23.3226511627907
923,15.71720945945946
924,9.879117647058823
928,4.410636363636364
932,11.740253846153847
933,28.95867857142857
935,22.996727857142858
941,20.559225
942,7.726221649484536
944,14.900694444444444
947,1.633076923076923
948,37.97217071428572
949,30.927318666666668
953,56.802083958320836
955,9.092087719298245
960,4.113666666666667
961,1.7517857142857143
962,15.243575
967,13.70653488372093
973,19.16171142857143
974,2.3892602739726025
975,14.914409090909091
981,10.780644736842106
984,3.3705333333333334
985,5.127987012987013
987,4.200921052631579
988,8.304722222222223
990,16.00857142857143
991,19.362640449438203
996,8.399408571428571
998,13.071223880597016
999,18.499333333333333
1002,2.8652269546090783
1003,6.596
1006,32.0446
1007,10.975271666666666
1009,11.877661538461538
1014,11.3388
